Tower section properties
39        n_secs:     number of tower sections at which properties are specified (-)

sec_loc  str_tw  tw_iner   mass_den  flp_iner  edge_iner  flp_stff   edge_stff   tor_stff   axial_stff  cg_offst  sc_offst tc_offst
(-)      (deg)    (deg)    (kg/m)     (kg-m)    (kg-m)     (Nm^2)     (Nm^2)      (Nm^2)       (N)        (m)       (m)      (m)
 0.465793 0.0 0.0 3459.374462 11680.798446 0.0 288584432193.2703 0.0 221988024764.0541 85466898469.41052 0.0 0.0 0.0
 0.492503 0.0 0.0 3345.369917 10819.302867 0.0 267300423768.51865 0.0 205615710591.1682 82650315599.21501 0.0 0.0 0.0
 0.519213 0.0 0.0 3233.118941 10005.634582 0.0 247198030845.15024 0.0 190152331419.34634 79877056196.69629 0.0 0.0 0.0
 0.545924 0.0 0.0 3122.621534 9238.026515 0.0 228233596250.65176 0.0 175564304808.19366 77147120261.85611 0.0 0.0 0.0
 0.572634 0.0 0.0 3013.877696 8514.743891 0.0 210364260831.49417 0.0 161818662178.07245 74460507794.69566 0.0 0.0 0.0
 0.599344 0.0 0.0 2906.887427 7834.084235 0.0 193547963453.12576 0.0 148883048810.09674 71817218795.21318 0.0 0.0 0.0
 0.626055 0.0 0.0 2801.650727 7194.377374 0.0 177743440999.9988 0.0 136725723846.15294 69217253263.40984 0.0 0.0 0.0
 0.652765 0.0 0.0 2698.167596 6593.985434 0.0 162910228375.53708 0.0 125315560288.8747 66660611199.284454 0.0 0.0 0.0
 0.679476 0.0 0.0 2596.438034 6031.302844 0.0 149008658502.16556 0.0 114622045001.66582 64147292602.83645 0.0 0.0 0.0
 0.706186 0.0 0.0 2496.462041 5504.756332 0.0 135999862321.29225 0.0 104615278708.68636 61677297474.06935 0.0 0.0 0.0
 0.732896 0.0 0.0 2398.239616 5012.804927 0.0 123845768793.30829 0.0 95265975994.85254 59250625812.979034 0.0 0.0 0.0
 0.759607 0.0 0.0 2301.770761 4553.93996 0.0 112509104897.59933 0.0 86545465305.84564 56867277619.56786 0.0 0.0 0.0
 0.786317 0.0 0.0 2207.055474 4126.685061 0.0 101953395632.5346 0.0 78425688948.10355 54527252893.83465 0.0 0.0 0.0
 0.813027 0.0 0.0 2114.093757 3729.596163 0.0 92142964015.47444 0.0 70879203088.82649 52230551635.78088 0.0 0.0 0.0
 0.839738 0.0 0.0 2022.885608 3361.261496 0.0 83042931082.76392 0.0 63879177755.972244 49977173845.405365 0.0 0.0 0.0
 0.866448 0.0 0.0 1933.431028 3020.301596 0.0 74619215889.73706 0.0 57399396838.259285 47767119522.7084 0.0 0.0 0.0
 0.893159 0.0 0.0 1845.730018 2705.369294 0.0 66838535510.71514 0.0 51414258085.1655 45600388667.68969 0.0 0.0 0.0
 0.919869 0.0 0.0 1759.782576 2415.149728 0.0 59668405039.009605 0.0 45898773106.930466 43476981280.34982 0.0 0.0 0.0
 0.946579 0.0 0.0 1675.588703 2148.360331 0.0 53077137586.916626 0.0 40828567374.551254 41396897360.688515 0.0 0.0 0.0
 0.97329 0.0 0.0 1593.148399 1903.75084 0.0 47033844285.72144 0.0 36179880219.78573 39360136908.70575 0.0 0.0 0.0
 1.0 0.0 0.0 1512.461664 1680.103293 0.0 41508434285.69665 0.0 31929564835.151268 37366699924.40096 0.0 0.0 0.0




















































































































 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 

